gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3418869647	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/12/j2ix503rafb3limm95saqjml7tjzdqox.jpg											
3418869646	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/09/bdwmk05upcepwarq2iuticcrez2xu143.jpg											
3418869645	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/03/r3ob6j4pq6h6btm48r5rn7eeszddgfaj.jpg											
3418869644	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/1b73657726eff667140e56ec59975d1a.jpg											
3418869643	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/05/7wo3csq99pycau2cyf0k3drnqg296wfj.jpg											
3418869642	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/08/su31gxu2ld7tyeycb8iyktcitfcghsrp.jpg											
3418869641	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/07/f825e735b964dcb4e21b7f71c485a47e.jpg											
3418869636	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/610334b23f1a43791db1b81e0a2bc0ce.jpg											
3418869635	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/04b2a6b24d218bb24e3aaa844f513170.jpg											
3418869634	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/03/01322bb3365687fd2003ec09a2a499ee.jpg											
3418869633	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/04/eeaee61ba1f44e91982c0ce3d313c5f6.jpg											
3418869632	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/05/5a2t85r7wixmyd2i9rdeuuw1anwfxty6.jpg											
3418869631	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/07/8cf6d31641cc860dd2ceb82d385cf184.jpg											
3418869630	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/02/glyi9g5dt4ixjav55xa9r9tz9531sv5q.jpg											
3418869629	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/ea1fe4f0bde0f0ed2c5de0dae4af86a5.jpg											
3418869628	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/f8fe3f21e94b2a2183b5ad04455be758.jpg											
3418869627	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/5491eb9a35c087d2c40fb01e8a52e34b.jpg											
3418869626	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/03/5fdc069cd57225f632652d25c4552ae7.jpg											
3418869625	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/01/c0072e84065ed517c8070e140c166d0a.jpg											
3418869624	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/12/4oue6ltg9snz4nf93jysb9hja0t2asnp.jpg											
3418869623	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/01/f0c8659c6795801cd8f7cac7d5abcb27.jpg											
3418869622	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/02/luqxe9577890snfc517ejomb2nem1hj4.jpg											
3418869621	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/9adbdedfa600585c08e73e475b510097.jpg											
3418869620	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/07/b7b2d92c12547511b32f6df9c06c173b.jpg											
3418869618	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/07/227f336b34266b7a64e8ddf1a8946b27.jpg											
3418869617	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/4b81d12092fe656432ca4dbf9730231c.jpg											
3418869616	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/07/d76e7c79b611013fa6004a4aaf6791d1.jpg											
3418869615	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/8b1605a17644a7db2066ebb396e36233.jpg											
3418869614	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/de9283a8dd-RK-Ringelnatter3-15Apr2015.jpg											
3418869613	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/dd2b57e9a9-RK-Ringelnatter-13Apr2015.jpg											
3418869612	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/06/55dbda76c37038eb589ea9cdafe6d0e1.jpg											
3418869611	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/4e273987bc-RK-Ringelnatter-15Apr2015.jpg											
3418869610	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/02f4f4f86f-RK-Echte-Maus2-15Apr2015.jpg											
3418869609	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/76a2d391d0-RK-Ringelnatter2-15Apr2015.jpg											
3418869608	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/02/mk974xmhl87s0lfwu7grhlnuysxflmto.jpg											
3418869607	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/2788ca1db6-RK-Echte-Maus-15Apr2015.jpg											
3418869606	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/d0a81fb3b4-5551a3c9f4139--SAM0075.jpg											
3418869605	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/9da6f8ce29-1431434537162.jpg											
3418869604	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/06/3e306438237baa79269e87eca268273a.jpg											
3418869603	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/d2c9035d81-RK-Ratte-15Apr2015.jpg											
3418869602	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/10/699cfdc54c-RK-Erdkr--te-15Apr2015.jpg											
3418869601	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/06/d93b1b38e14e9626999fe068371e933c.jpg											
3418869600	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/06/91912c157e6f5c17b4dc6ed90de8a924.jpg											
3418869599	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2015/05/22d2054018-1431368898359.jpg											
3418869598	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/6675e8c264e89bf5118211eca462bd71.jpg											
3418869596	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/gfsh5ppjvclf3uw58vcx3c3hlowrpwmr.jpg											
3418869594	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/09/egh0zey2giq350kl08nnzeb6kpr8mc6a.jpg											
3418869593	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/d54eab47d15751483ce784bbd7e7ab15.jpg											
3418869592	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/4ba0b43d56060aed47f4e757f702e556.jpg											
3418869591	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/77e248d0aa1ab5b968bca64e4285ccdf.jpg											
3418869589	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/03/o76qixq0ggr87fiiu6ctr15hwf3wumkw.jpg											
3418869588	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/08/a404396111e1301017700b61d75b2682.jpg											
3418869587	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/03/d8c2b1bf7d5af7d0a4aca52820858a9d.jpg											
3418869586	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/07/5n5keoq8oj0dc7niuemapvr8wxd6grw2.jpg											
3418869585	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/7db52a241d456af3b9aa4dab080eb7e9.jpg											
3418869584	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/02/e4ab50abfa31f80aea3d383ae4492795.jpg											
3418869583	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/10/f1486bb9c03bfba06d9b24765f2c7c9c.jpg											
3418869582	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/06/ac9b5182ada8e72c00024671975337ff.jpg											
3418869581	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/231d8cb04c18591992ef0a116b753488.jpg											
3418869580	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/7b0a83652412c75e5dd919c1e8c1b757.jpg											
3418869577	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/c098500ab1a8c0a3c495978090d817f6.jpg											
3418869576	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/04/fcddd6d14f83baee132869cfd8c232bb.jpg											
3418869572	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/02/76b1fbdf4f65bfe68913652d423ea406.jpg											
3418869571	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/fac34293afdc1bd3841bd2ff52fdff2b.jpg											
3418869570	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/b3d0364baf6687c61b1bc517cb871a53.jpg											
3418869569	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/86081f3c85de8178c75e994c80e7ba0a.jpg											
3418869568	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2016/02/ac55bbe8ef250a88dbc356fbf3c272bf.jpg											
3418869567	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/07/f15290ee0345db53f56df148ada12aa5.jpg											
3418869566	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/05/99ed74f7f4f9480477f5d198a14690ca.jpg											
3418869565	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2020/04/k9k0179f774eboj9psxe5vfx1kgfd675.jpg											
3418869561	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2019/03/10b81bdf941ee3f79dcac247fb24d30e.jpg											
3418869557	StillImage	image/jpeg	https://files.spotteron.com/images/spots/000002/2018/08/d2a331812fa42fab88941ebeecea79a3.jpg											
